,ctrSeqNo(일련번호),groupCd(분류코드),groupNm(분류명),cultureNm(행사명),startDt(시작일),endDt(종료일),ctrLocation(장소),thumbImage(썸네일이미지),con_URL(연결링크)
0,1565,19,행사/축제,2023 수원재즈페스티벌,2023-09-16,2023-09-16,광교호수공원재미난밭,https://www.suwon.go.kr/common-upload/upload/culture/2023/8/24/f8b61e97-9c59-4985-bdcc-795002a92d8a.jpg,https://www.suwon.go.kr/culture/ingCultureView.do?ctrSeqNo=1565&listType=main&q_groupCd=&q_year=&q_month=&q_currPage=1&q_rowPerPage=12&q_ingYn=0&q_searchDatePart=&q_startDt=&q_endDt=&q_cultureNm=
1,1564,21,전시,수원 구 부국원 <품종의 탄생 : 수원 쌀 이야기> 전시,2023-08-30,2023-12-30,수원 구 부국원,https://www.suwon.go.kr/common-upload/upload/culture/2023/8/23/5995e95e-e3f2-45fd-ae77-4ee2fee45a9a.jpg,https://www.suwon.go.kr/culture/ingCultureView.do?ctrSeqNo=1564&listType=main&q_groupCd=&q_year=&q_month=&q_currPage=1&q_rowPerPage=12&q_ingYn=0&q_searchDatePart=&q_startDt=&q_endDt=&q_cultureNm=
2,1563,23,공연,2023 수원화성 헤리티지 콘서트,2023-09-02,2023-09-02,연무대 ,https://www.suwon.go.kr/common-upload/upload/culture/2023/8/22/76c6e2fa-3255-4529-84c1-bbc489457fb1.jpg,https://www.suwon.go.kr/culture/ingCultureView.do?ctrSeqNo=1563&listType=main&q_groupCd=&q_year=&q_month=&q_currPage=1&q_rowPerPage=12&q_ingYn=0&q_searchDatePart=&q_startDt=&q_endDt=&q_cultureNm=
3,1562,19,행사/축제,고색뉴지엄 문화의 날 <고색데이 - 8월>,2023-08-31,2023-08-31,고색뉴지엄,https://www.suwon.go.kr/common-upload/upload/culture/2023/8/22/75c99d37-f4cf-4bd4-9bc2-7a59dd35cdd2.jpg,https://www.suwon.go.kr/culture/ingCultureView.do?ctrSeqNo=1562&listType=main&q_groupCd=&q_year=&q_month=&q_currPage=1&q_rowPerPage=12&q_ingYn=0&q_searchDatePart=&q_startDt=&q_endDt=&q_cultureNm=
4,1561,19,행사/축제,이야기가 있는 아빠 밥상 요리경연대회,2023-08-07,2023-08-28,본선 경기도청 구청사,https://www.suwon.go.kr/common-upload/upload/culture/2023/8/22/16314100-60e1-47ff-8ff8-0a1d6853d99f.jpg,https://www.suwon.go.kr/culture/ingCultureView.do?ctrSeqNo=1561&listType=main&q_groupCd=&q_year=&q_month=&q_currPage=1&q_rowPerPage=12&q_ingYn=0&q_searchDatePart=&q_startDt=&q_endDt=&q_cultureNm=
5,1560,25,강연,2023년 새빛 평생학습 아카데미 8강-곽재식 숭실사이버대 환경안전공학과 교수,2023-08-22,2023-08-28,수원시청,https://www.suwon.go.kr/common-upload/upload/culture/2023/8/22/8e5eaba7-b00b-4d1b-a985-70ef853a95fb.jpg,https://www.suwon.go.kr/culture/ingCultureView.do?ctrSeqNo=1560&listType=main&q_groupCd=&q_year=&q_month=&q_currPage=1&q_rowPerPage=12&q_ingYn=0&q_searchDatePart=&q_startDt=&q_endDt=&q_cultureNm=
6,1559,19,행사/축제,정신건강 2.0을 여는 토크콘서트,2023-09-12,2023-09-12,수원컨벤션센터,https://www.suwon.go.kr/common-upload/upload/culture/2023/8/21/0ae87416-4584-428c-a3c7-3826784338ac.jpg,https://www.suwon.go.kr/culture/ingCultureView.do?ctrSeqNo=1559&listType=main&q_groupCd=&q_year=&q_month=&q_currPage=1&q_rowPerPage=12&q_ingYn=0&q_searchDatePart=&q_startDt=&q_endDt=&q_cultureNm=
7,1556,19,행사/축제,아시아링크 스케치워크 수원 2023,2023-10-04,2023-10-07,수원컨벤션센터,https://www.suwon.go.kr/common-upload/upload/culture/2023/8/9/6d723ed9-fa96-48b0-b252-517b6831381e.jpg,https://www.suwon.go.kr/culture/ingCultureView.do?ctrSeqNo=1556&listType=main&q_groupCd=&q_year=&q_month=&q_currPage=1&q_rowPerPage=12&q_ingYn=0&q_searchDatePart=&q_startDt=&q_endDt=&q_cultureNm=
8,1554,23,공연,"[수원SK아트리움]하우스콘서트Ⅰ-<쳇베이커, 라흐마니노프를 만나다>",2023-09-08,2023-09-08,수원SK아트리움,https://www.suwon.go.kr/common-upload/upload/culture/2023/8/7/dcc4f018-c843-4a25-ba20-a115044709af.jpg,https://www.suwon.go.kr/culture/ingCultureView.do?ctrSeqNo=1554&listType=main&q_groupCd=&q_year=&q_month=&q_currPage=1&q_rowPerPage=12&q_ingYn=0&q_searchDatePart=&q_startDt=&q_endDt=&q_cultureNm=
9,1553,19,행사/축제,"2023 수원뿌리학교(시민기록자 양성과정, 강의 과정)",2023-08-07,2023-08-31,수원시민회관(수원문화원),https://www.suwon.go.kr/common-upload/upload/culture/2023/8/7/e526fef1-f96f-447b-9058-899a2a06e5df.jpg,https://www.suwon.go.kr/culture/ingCultureView.do?ctrSeqNo=1553&listType=main&q_groupCd=&q_year=&q_month=&q_currPage=1&q_rowPerPage=12&q_ingYn=0&q_searchDatePart=&q_startDt=&q_endDt=&q_cultureNm=
